time_step,time_years,time_days,expected_exposure,ee_lower_ci,ee_upper_ci,pfe_75,pfe_90,pfe_95,pfe_97,pfe_99,ee_collateralized
53,0.84,211,1381003.74,1369155.25,1392852.22,2230514.13,3300059.90,3968768.56,4539408.51,5312859.76,1381003.74
54,0.86,216,1403579.25,1391578.03,1415580.48,2266875.94,3349826.95,4020053.73,4593641.07,5369589.35,1403579.25
55,0.87,220,1425140.42,1413001.22,1437279.63,2298820.22,3392876.65,4068320.94,4644537.26,5413139.82,1425140.42
56,0.89,224,1447097.10,1434811.92,1459382.29,2334125.41,3441158.32,4118167.45,4710937.09,5459526.37,1447097.10
57,0.90,227,1469130.42,1456703.36,1481557.49,2359527.53,3488290.47,4173941.15,4765261.46,5504193.41,1469130.42
58,0.92,232,1491716.59,1479132.10,1504301.08,2396033.31,3524575.43,4211059.88,4823987.63,5594533.36,1491716.59
59,0.94,236,1514331.09,1501584.11,1527078.08,2439109.48,3565345.52,4258797.45,4899422.26,5655648.66,1514331.09
60,0.95,240,1537069.72,1524160.05,1549979.40,2473019.87,3619752.07,4310357.92,4953483.00,5737397.11,1537069.72
61,0.97,243,1560012.77,1546942.32,1573083.21,2510560.48,3673676.76,4371442.47,5003102.92,5791941.69,1560012.77
62,0.98,248,1581829.29,1568608.82,1595049.76,2544852.96,3714566.66,4425380.17,5083819.97,5880799.51,1581829.29
63,1.00,252,1604275.12,1590903.82,1617646.42,2572232.35,3744736.07,4465224.42,5155036.17,5986685.34,1604275.12
